source,destination,isl_avg_ms,isl_p95_ms,isl_hops,gs_avg_ms,gs_p95_ms,gs_hops,improvement_ms,improvement_pct,gs_bounce_better
gs1,gs2,11.042,11.042,2.0,11.042,11.042,2.0,0.000,0.0,no
gs1,gs3,30.633,30.633,3.0,30.633,30.633,3.0,0.000,0.0,no
gs1,gs4,10.490,10.490,2.0,10.490,10.490,2.0,0.000,0.0,no
gs1,gs5,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.0,no
gs1,gs6,27.587,27.587,3.0,21.848,21.848,4.0,5.739,20.8,yes
gs1,gs7,28.828,28.828,3.0,21.551,21.551,4.0,7.277,25.2,yes
gs1,gs8,56.447,56.447,4.0,20.204,20.204,4.0,36.244,64.2,yes
gs1,gs9,9.246,9.246,2.0,9.246,9.246,2.0,0.000,0.0,no
gs2,gs3,52.889,52.889,4.0,31.345,31.345,6.0,21.544,40.7,yes
gs2,gs4,31.687,31.687,3.0,21.532,21.532,4.0,10.156,32.0,yes
gs2,gs5,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.0,no
gs2,gs6,49.843,49.843,4.0,20.574,20.574,4.0,29.269,58.7,yes
gs2,gs7,10.509,10.509,2.0,10.509,10.509,2.0,0.000,0.0,no
gs2,gs8,29.033,29.033,3.0,29.033,29.033,3.0,0.000,0.0,no
gs2,gs9,11.823,11.823,2.0,11.823,11.823,2.0,0.000,0.0,no
gs3,gs4,29.708,29.708,3.0,29.708,29.708,3.0,0.000,0.0,no
gs3,gs5,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.0,no
gs3,gs6,10.771,10.771,2.0,10.771,10.771,2.0,0.000,0.0,no
gs3,gs7,81.123,81.123,4.0,20.836,20.836,4.0,60.288,74.3,yes
gs3,gs8,52.242,52.242,4.0,39.105,39.105,5.0,13.137,25.1,yes
gs3,gs9,30.902,30.902,3.0,23.373,23.373,4.0,7.529,24.4,yes
gs4,gs5,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.0,no
gs4,gs6,26.661,26.661,3.0,26.661,26.661,3.0,0.000,0.0,no
gs4,gs7,26.400,26.400,3.0,26.400,26.400,3.0,0.000,0.0,no
gs4,gs8,9.714,9.714,2.0,9.714,9.714,2.0,0.000,0.0,no
gs4,gs9,29.764,29.764,3.0,19.736,19.736,4.0,10.028,33.7,yes
gs5,gs6,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.0,no
gs5,gs7,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.0,no
gs5,gs8,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.0,no
gs5,gs9,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.0,no
gs6,gs7,10.065,10.065,2.0,10.065,10.065,2.0,0.000,0.0,no
gs6,gs8,28.334,28.334,3.0,28.334,28.334,3.0,0.000,0.0,no
gs6,gs9,12.602,12.602,2.0,12.602,12.602,2.0,0.000,0.0,no
gs7,gs8,58.626,58.626,4.0,36.114,36.114,5.0,22.512,38.4,yes
gs7,gs9,50.541,50.541,4.0,22.332,22.332,4.0,28.209,55.8,yes
gs8,gs9,36.803,36.803,3.0,29.449,29.449,6.0,7.354,20.0,yes
